8.5138	6.3066	1
8.2373	5.0219	1
6.9931	4.9635	1
5.6106	2.5693	1
4.5968	2.3358	1
3.4908	3.4453	1
1.3249	3.4453	1
-1.3018	1.927	1
-3.1452	2.9197	1
-3.8364	-0.1752	1
-3.2834	-2.0438	1
-1.2558	-0.8175	1
0.2189	0.1752	1
1.371	2.0438	1
-4.4816	-0.4672	1
-7.6152	-0.0584	1
-7.8456	-2.9197	1
-7.1083	-6.3066	1
-6.7857	-7.8832	1
-5.0346	-6.7737	1
-2.5461	-5.8394	1
-3.2373	-3.2701	1
-1.2097	-1.635	1
0.3111	-3.1533	1
2.2465	0.292	1
5.3341	0.7007	1
3.9055	6.1898	1
-0.288	8	1
-2.5922	6.7737	1
-7.0161	8.0584	1
-7.6613	8.7007	1
-8.8594	6.0146	1
-8.2604	3.3869	1
-5.3571	4.3212	1
-7.2005	1.4599	1
-6.5092	4.5547	1
-3.8364	5.3139	1
-0.8871	3.9124	1
1.4171	3.854	1
2.7995	4.6131	1
4.9194	6.5985	1
5.7949	7.4161	1
7.6382	7.9416	1
5.4263	5.0219	1
0.1267	-0.8175	1
1.2327	-1.4599	1
3.03	-1.635	1
-0.7488	-2.0438	1
-2.3157	-4.146	1
-1.7627	-5.6058	1
-1.5783	-6.7737	1
-2.1313	-8.6423	1
-3.6521	-8.8175	1
-0.7949	-8.8175	1
0.2189	-8.4672	1
-3.9286	-8	1
-5.818	-5.2555	1
-3.5599	3.0949	1
0.6797	6.1314	1
-0.288	2.5693	1
-4.8041	-9.2263	-1
-4.159	-6.7153	-1
-3.6521	-5.1387	-1
-2.4078	-4.438	-1
-1.394	-2.6277	-1
0.2189	-1.1679	-1
0.7719	0.3504	-1
1.7396	1.927	-1
3.3525	2.2774	-1
5.4724	3.3285	-1
8.2373	4.438	-1
6.2558	1.6934	-1
4.0438	1.1679	-1
6.3018	-7.8248	-1
7.4078	-7.9416	-1
7.5461	-5.0219	-1
8.3295	-6.5401	-1
8.3756	-7.8248	-1
9.2051	-6.365	-1
9.0668	-8.2336	-1
6.4401	-8.8175	-1
2.9839	-9.5766	-1
2.3848	-8	-1
3.6751	-6.9489	-1
6.2558	-2.6861	-1
6.9009	0.0584	-1
7.9147	2.6277	-1
8.1452	4.5547	-1
7.6843	5.4891	-1
5.8871	5.1387	-1
-1.0253	-0.292	-1
2.523	-3.854	-1
4.3203	-6.2482	-1
6.947	-6.6569	-1
7.6382	-4.3796	-1
8.1452	-4.5547	-1
8.4217	-2.1606	-1
8.8825	-5.1971	-1
7.5922	-9.5182	-1
2.9839	-9.1679	-1
1.2788	-9.2847	-1
-0.2419	-8.9343	-1
3.5829	-8.1752	-1
4.7811	-8.2336	-1
5.9332	-8.3504	-1
8.053	-8.6423	-1
9.1129	-9.1679	-1
9.2972	-1.8102	-1
5.7949	-3.854	-1
6.5323	-5.3139	-1
7.2696	-5.6642	-1
