0.0478	0.9555	1
1.4237	-0.396	1
0.2514	0.8968	1
0.2549	0.7987	1
0.3378	0.7251	1
0.5349	0.5453	1
0.7319	0.5371	1
0.7768	0.7088	1
0.6593	0.8028	1
0.9807	0.766	1
0.877	0.439	1
0.8321	0.1733	1
0.6524	0.3082	1
1.4231	0.9213	1
1.2814	0.6515	1
1.3021	0.3777	1
1.1915	0.1896	1
1.0913	-0.1374	1
1.4438	0.112	1
0.0959	0.3368	-1
0.0752	0.1569	-1
0.1789	0.2101	-1
0.2549	0.3368	-1
0.324	0.2509	-1
0.4934	0.1651	-1
0.5971	0.0343	-1
0.6005	-0.1169	-1
0.718	-0.2355	-1
0.5452	-0.3009	-1
0.2272	-0.3091	-1
0.7802	-0.3418	-1
0.9565	-0.3377	-1
0.1028	-0.3091	-1
0.0579	-0.0188	-1
0.1927	0.0547	-1
0.3862	-0.3091	-1
