0	-0.0837
0.0101	0.287
0.0202	0.42
0.0303	0.45
0.0404	0.0878
0.0505	0.343
0.0606	0.00262
0.0707	0.0803
0.0808	0.159
0.0909	0.701
0.101	0.589
0.111	0.364
0.121	0.686
0.131	0.417
0.141	0.376
0.152	1.13
0.162	0.904
0.172	1.27
0.182	1.09
0.192	1.01
0.202	1.24
0.212	1.31
0.222	1.42
0.232	0.544
0.242	1.33
0.253	1.1
0.263	1.44
0.273	1.01
0.283	0.96
0.293	1.24
0.303	0.7
0.313	0.921
0.323	1.26
0.333	0.933
0.343	1.14
0.354	1.01
0.364	0.833
0.374	0.485
0.384	0.817
0.394	0.243
0.404	0.68
0.414	0.659
0.424	0.665
0.434	0.753
0.444	0.776
0.455	0.524
0.465	0.294
0.475	0.543
0.485	0.167
0.495	-0.403
0.505	-0.373
0.515	0.231
0.525	-0.172
0.535	0.0901
0.545	-0.543
0.556	-0.295
0.566	-0.284
0.576	-0.879
0.586	-0.41
0.596	-0.691
0.606	-1.02
0.616	-0.676
0.626	-0.989
0.636	-1.09
0.646	-1.06
0.657	-1.15
0.667	-1.15
0.677	-1.31
0.687	-0.801
0.697	-1.14
0.707	-0.929
0.717	-0.803
0.727	-0.991
0.737	-0.965
0.747	-1.05
0.758	-1.34
0.768	-1
0.778	-0.667
0.788	-0.635
0.798	-1.16
0.808	-1.2
0.818	-0.851
0.828	-0.755
0.838	-0.924
0.848	-1.08
0.859	-0.373
0.869	-1.11
0.879	-1.04
0.889	-0.965
0.899	-0.893
0.909	-0.432
0.919	-0.42
0.929	-0.833
0.939	0.0164
0.949	-0.106
0.96	-0.0371
0.97	-0.582
0.98	0.198
0.99	0.328
1	0.436
