6.89771	5.36239
3.60214	4.32164
7.57096	6.78281
4.47047	4.02358
2.94693	1.46952
4.12505	5.36155
6.32158	5.52986
6.49331	3.82833
5.2266	4.26489
5.40645	4.83072
5.89506	4.58363
2.9366	4.13554
4.17734	3.6889
2.41178	3.31663
4.36487	3.92362
1.14758	0.383892
0.562588	1.23407
1.36205	5.39469
1.00803	-5.22259
0.968895	-3.50406
3.08532	4.22313
0.55449	-1.23867
0.966851	0.155268
2.89719	-1.2023
0.189167	-2.28882
1.39103	0.284132
0.238829	-1.74885
1.72877	-0.644195
1.2316	0.0763236
1.46112	-1.12048
